,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,00134,FP03,0.33 CS,0.33 CS,0.33 CS,0.83 CS,1.00 CS,1.00 CS,1.33 CS,1.33 CS,1.33 CS,1.67 CS,1.67 CS,1.67 CS,12.83 CS
Total Inventory Qty,00134,FP07,275.00 CS,278.00 CS,72.00 CS,46.00 CS,600.00 CS,412.00 CS,,322.00 CS,328.00 CS,14.00 CS,77.00 CS,95.00 CS,"2,519.00 CS"
Total Inventory Qty,00134,FP13,913.00 CS,340.00 CS,,86.00 CS,209.00 CS,182.00 CS,"1,533.00 CS","2,406.00 CS","1,425.00 CS",29.00 CS,29.00 CS,"1,175.00 CS","8,327.00 CS"
Total Inventory Qty,00136,FP03,,,1.83 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,0.83 CS,10.67 CS
Total Inventory Qty,00136,FP07,346.00 CS,100.00 CS,217.00 CS,217.00 CS,293.00 CS,17.00 CS,121.00 CS,214.00 CS,321.00 CS,112.00 CS,169.00 CS,183.00 CS,"2,310.00 CS"
Total Inventory Qty,00136,FP13,732.00 CS,"2,141.00 CS","1,413.00 CS",939.00 CS,216.00 CS,"1,085.00 CS",463.00 CS,698.00 CS,"1,910.00 CS","1,239.00 CS",836.00 CS,574.00 CS,"12,246.00 CS"
Total Inventory Qty,00151,FP05,,,,,,,50.00 CS,,,,,,50.00 CS
Total Inventory Qty,00151,FP13,"2,016.00 CS","1,995.00 CS","1,995.00 CS","1,995.00 CS","1,995.00 CS","1,995.00 CS","5,327.00 CS","13,405.00 CS","4,356.00 CS","2,183.00 CS","2,183.00 CS","2,233.00 CS","41,678.00 CS"
Total Inventory Qty,00151,FP14,,,,,,,850.00 CS,"6,390.00 CS","2,825.00 CS",,,,"10,065.00 CS"
Total Inventory Qty,00153,FM01,108.00 CS,,,,,,,,,,378.00 CS,45.00 CS,531.00 CS
Total Inventory Qty,00153,FP03,2.00 CS,1.58 CS,1.00 CS,0.50 CS,0.42 CS,0.42 CS,1.42 CS,3.92 CS,3.92 CS,,0.92 CS,0.91 CS,16.99 CS
Total Inventory Qty,00153,FP07,"12,569.00 CS","8,487.00 CS","5,264.00 CS","4,993.00 CS","10,651.00 CS","9,171.00 CS","4,275.00 CS","9,344.00 CS","5,447.00 CS","1,559.00 CS","6,934.00 CS","13,012.00 CS","91,706.00 CS"
Total Inventory Qty,00153,FP13,"2,255.00 CS","3,729.00 CS","2,200.00 CS","1,762.00 CS",861.00 CS,"1,381.00 CS","2,320.00 CS","1,966.00 CS","1,164.00 CS",717.00 CS,"1,273.00 CS","3,097.00 CS","22,725.00 CS"
Total Inventory Qty,00159,FP05,,,,,2.00 CS,,,,26.00 CS,,,,28.00 CS
Total Inventory Qty,00159,FP07,,,,,,,33.00 CS,3.00 CS,3.00 CS,6.00 CS,7.00 CS,7.00 CS,59.00 CS
Total Inventory Qty,00159,FP13,"1,006.00 CS","1,034.00 CS",896.00 CS,525.00 CS,248.00 CS,390.00 CS,585.00 CS,377.00 CS,782.00 CS,659.00 CS,329.00 CS,249.00 CS,"7,080.00 CS"
Total Inventory Qty,00159,FP15,,54.00 CS,165.00 CS,118.00 CS,72.00 CS,65.00 CS,64.00 CS,101.00 CS,81.00 CS,60.00 CS,116.00 CS,62.00 CS,958.00 CS
Total Inventory Qty,00162,FP13,1.00 CS,1.00 CS,1.00 CS,1.00 CS,,,,,,,,,4.00 CS
Total Inventory Qty,00163,FP13,,,,,67.00 CS,67.00 CS,59.00 CS,59.00 CS,53.00 CS,114.00 CS,114.00 CS,114.00 CS,647.00 CS
Total Inventory Qty,00184,FP05,1.00 CS,,9.00 CS,,,1.00 CS,,,,,2.00 CS,,13.00 CS
Total Inventory Qty,00184,FP07,61.00 CS,88.00 CS,123.00 CS,112.00 CS,42.00 CS,45.00 CS,66.00 CS,16.00 CS,44.00 CS,49.00 CS,72.00 CS,39.00 CS,757.00 CS
Total Inventory Qty,00184,FP13,,1.00 CS,1.00 CS,1.00 CS,,,,,,,,,3.00 CS
Total Inventory Qty,00185,FP05,,,,,,,,,30.00 CS,,,,30.00 CS
Total Inventory Qty,00185,FP07,,,,,,,,,,4.00 CS,4.00 CS,,8.00 CS
Total Inventory Qty,00185,FP13,208.00 CS,33.00 CS,91.00 CS,34.00 CS,116.00 CS,92.00 CS,97.00 CS,,147.00 CS,162.00 CS,39.00 CS,201.00 CS,"1,220.00 CS"
Total Inventory Qty,00441,FP03,0.56 CS,0.56 CS,0.56 CS,0.56 CS,0.56 CS,0.56 CS,0.22 CS,0.22 CS,0.22 CS,,,,4.00 CS
Total Inventory Qty,00441,FP07,213.00 CS,117.00 CS,47.00 CS,15.00 CS,274.00 CS,104.00 CS,293.00 CS,147.00 CS,138.00 CS,412.00 CS,427.00 CS,462.00 CS,"2,649.00 CS"
Total Inventory Qty,00441,FP13,25.00 CS,46.00 CS,37.00 CS,,40.00 CS,15.00 CS,38.00 CS,40.00 CS,,76.00 CS,76.00 CS,95.00 CS,488.00 CS
Total Inventory Qty,00484,FP07,86.00 CS,86.00 CS,86.00 CS,86.00 CS,86.00 CS,86.00 CS,86.00 CS,,,,,,602.00 CS
Total Inventory Qty,00491,FP01,,,,"2,600.00 CS",,,,,,,,,"2,600.00 CS"
Total Inventory Qty,00491,FP03,1.08 CS,2.00 CS,2.00 CS,1.92 CS,8.92 CS,6.83 CS,6.50 CS,4.50 CS,4.50 CS,5.92 CS,2.67 CS,8.67 CS,55.50 CS
Total Inventory Qty,00491,FP07,"4,331.00 CS","3,756.00 CS","5,783.00 CS","1,259.00 CS","10,129.00 CS","2,462.00 CS","2,833.00 CS","6,088.00 CS","11,417.00 CS","7,790.00 CS","7,121.00 CS","7,321.00 CS","70,290.00 CS"
Total Inventory Qty,00491,FP13,"11,865.00 CS","17,556.00 CS","8,583.00 CS","10,579.00 CS","3,544.00 CS","1,821.00 CS","6,412.00 CS","7,622.00 CS","32,046.00 CS","26,853.00 CS","19,316.00 CS","10,464.00 CS","1,56,661.00 CS"
Total Inventory Qty,00625,FP03,1.38 CS,1.38 CS,1.38 CS,1.38 CS,1.38 CS,1.38 CS,,,,,,,8.25 CS
Total Inventory Qty,00625,FP07,178.00 CS,266.00 CS,188.00 CS,384.00 CS,263.00 CS,425.00 CS,356.00 CS,153.00 CS,266.00 CS,226.00 CS,178.00 CS,231.00 CS,"3,114.00 CS"
Total Inventory Qty,00625,FP13,48.00 CS,80.00 CS,32.00 CS,38.00 CS,40.00 CS,80.00 CS,17.00 CS,67.00 CS,76.00 CS,59.00 CS,30.00 CS,108.00 CS,675.00 CS
Total Inventory Qty,00640,FP13,5.00 CS,"1,610.00 CS","1,150.00 CS",1.00 CS,1.00 CS,693.00 CS,252.00 CS,302.00 CS,302.00 CS,302.00 CS,302.00 CS,302.00 CS,"5,222.00 CS"
Total Inventory Qty,00641,FP13,,,786.00 CS,836.00 CS,836.00 CS,836.00 CS,836.00 CS,836.00 CS,836.00 CS,835.00 CS,835.00 CS,835.00 CS,"8,307.00 CS"
Total Inventory Qty,00642,FP13,,,556.00 CS,6.00 CS,13.00 CS,13.00 CS,241.00 CS,259.00 CS,259.00 CS,259.00 CS,259.00 CS,259.00 CS,"2,124.00 CS"
Total Inventory Qty,00643,FP01,,472.00 CS,,,,,,,,,,,472.00 CS
Total Inventory Qty,00643,FP13,,250.00 CS,"1,731.00 CS",81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,"2,710.00 CS"
Total Inventory Qty,00651,FP05,,,50.00 CS,,,,,,50.00 CS,,,,100.00 CS
Total Inventory Qty,00651,FP07,98.00 CS,85.00 CS,60.00 CS,89.00 CS,27.00 CS,27.00 CS,6.00 CS,40.00 CS,40.00 CS,80.00 CS,69.00 CS,69.00 CS,690.00 CS
Total Inventory Qty,00651,FP13,"4,627.00 CS","3,219.00 CS","4,226.00 CS","2,799.00 CS","1,362.00 CS","1,650.00 CS",220.00 CS,"1,606.00 CS","5,331.00 CS","2,760.00 CS",236.00 CS,50.00 CS,"28,086.00 CS"
Total Inventory Qty,00654,FP07,7.00 CS,7.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,,,,,,24.00 CS
Total Inventory Qty,00659,FP03,,,,,,,,,,,0.83 CS,0.83 CS,1.67 CS
